conversion_id,click_id,amount,status,created_at,updated_at
123172,987122,101.83,active,2022-11-07,2022-11-09
623743,866291,7.08,active,2022-11-07,2022-11-08
390292,854655,68.89,not active,2022-11-07,2022-11-08
391095,299443,53.37,active,2022-11-07,2022-11-08
217490,121800,21.91,active,2022-11-07,2022-11-08
520990,259189,128.6,active,2022-11-07,2022-11-09
675509,24852,74.2,not active,2022-11-07,2022-11-11
537703,542318,124.49,not active,2022-11-07,2022-11-12
284456,514870,103.83,not active,2022-11-07,2022-11-10
703786,346655,68.4,not active,2022-11-07,2022-11-07
229837,545829,136.9,active,2022-11-07,2022-11-09
375311,24777,37.85,active,2022-11-07,2022-11-08
840887,97019,30.83,active,2022-11-07,2022-11-07
615246,45414,95.51,active,2022-11-07,2022-11-09
213146,474338,114.33,not active,2022-11-07,2022-11-10
342264,715670,92.05,active,2022-11-07,2022-11-12
669970,551852,67.46,not active,2022-11-07,2022-11-08
951357,56325,80.22,not active,2022-11-07,2022-11-07
982291,443220,122.79,not active,2022-11-07,2022-11-12
217091,965576,33.09,active,2022-11-07,2022-11-10
109866,204534,73.63,active,2022-11-07,2022-11-07
767263,119710,21.28,active,2022-11-07,2022-11-10
72491,854253,34.28,not active,2022-11-07,2022-11-08
915227,507944,0.74,active,2022-11-07,2022-11-07
272044,358912,30.59,active,2022-11-07,2022-11-07
466751,777932,3.91,active,2022-11-07,2022-11-11
133749,835010,22.57,not active,2022-11-07,2022-11-08
283761,764063,18.89,active,2022-11-07,2022-11-11
198081,997263,26.96,not active,2022-11-07,2022-11-09
464369,852897,127.02,not active,2022-11-07,2022-11-09
497541,935056,66.38,active,2022-11-07,2022-11-08
304853,442730,107.21,active,2022-11-07,2022-11-12
318343,313947,76.83,not active,2022-11-07,2022-11-11
824358,789398,103.21,not active,2022-11-07,2022-11-07
45454,958715,52.81,not active,2022-11-07,2022-11-08
857410,883808,71.08,not active,2022-11-07,2022-11-09
247837,386483,98.61,not active,2022-11-07,2022-11-10
817970,71528,8.09,active,2022-11-07,2022-11-11
566149,89989,91.67,active,2022-11-07,2022-11-12
998313,841668,105.4,active,2022-11-07,2022-11-10
823965,136213,91.6,not active,2022-11-07,2022-11-08
577417,990088,120.4,not active,2022-11-07,2022-11-09
484259,402093,96.1,active,2022-11-07,2022-11-07
907096,231503,103.94,active,2022-11-07,2022-11-07
217779,293037,111.5,active,2022-11-07,2022-11-12
796172,138798,91.6,active,2022-11-07,2022-11-10
260474,727808,74.33,active,2022-11-07,2022-11-12
149653,193615,134.6,active,2022-11-07,2022-11-10
404302,153148,14.09,active,2022-11-07,2022-11-11
391747,994899,111.16,not active,2022-11-07,2022-11-11
940133,691027,83.16,not active,2022-11-07,2022-11-12
104437,882755,78.5,not active,2022-11-07,2022-11-10
926970,848335,48.02,not active,2022-11-07,2022-11-10
262664,840169,125.52,active,2022-11-07,2022-11-07
392263,987122,124.67,active,2022-11-07,2022-11-08
989398,442730,139.05,not active,2022-11-07,2022-11-08
147030,182405,92.32,not active,2022-11-07,2022-11-08
928346,840124,118.54,active,2022-11-07,2022-11-09
674803,753290,124.45,active,2022-11-07,2022-11-09
345388,747856,55.83,not active,2022-11-07,2022-11-08
976860,593741,8.86,not active,2022-11-07,2022-11-09
263601,921433,12.76,not active,2022-11-07,2022-11-07
478676,466050,117.04,active,2022-11-07,2022-11-12
532741,457867,28.59,not active,2022-11-07,2022-11-07
764454,462434,71.67,not active,2022-11-07,2022-11-09
60577,757618,48.02,not active,2022-11-07,2022-11-09
123971,907812,22.11,not active,2022-11-07,2022-11-12
185088,209799,147.31,active,2022-11-07,2022-11-07
714384,47010,0.05,not active,2022-11-07,2022-11-10
981046,839208,43.08,active,2022-11-07,2022-11-11
967935,112762,37.92,active,2022-11-07,2022-11-12
962805,457867,31.52,active,2022-11-07,2022-11-09
475273,757530,79.67,not active,2022-11-07,2022-11-07
795845,531439,128.23,active,2022-11-07,2022-11-11
766009,179831,112.25,not active,2022-11-07,2022-11-11
775128,786495,85.32,not active,2022-11-07,2022-11-12
799912,388175,139.23,not active,2022-11-07,2022-11-10
471294,302722,31.61,not active,2022-11-07,2022-11-07
228960,842690,121.09,active,2022-11-07,2022-11-09
202077,437557,28.68,active,2022-11-07,2022-11-11
62943,34422,106.4,not active,2022-11-07,2022-11-11
906740,316319,125.1,active,2022-11-07,2022-11-11
731611,175332,35.96,not active,2022-11-07,2022-11-12
93852,818837,3.04,not active,2022-11-07,2022-11-09
736053,305487,128.26,not active,2022-11-07,2022-11-07
282968,275192,68.95,not active,2022-11-07,2022-11-07
858868,443074,83.2,active,2022-11-07,2022-11-12
175365,129225,65.08,not active,2022-11-07,2022-11-07
933848,108661,56.25,active,2022-11-07,2022-11-12
20223,646177,79.35,not active,2022-11-07,2022-11-09
792712,82652,106.36,active,2022-11-07,2022-11-07
410894,376761,148.23,active,2022-11-07,2022-11-08
393298,514870,78.73,active,2022-11-07,2022-11-12
76794,989595,93.72,not active,2022-11-07,2022-11-09
681575,605456,68.61,not active,2022-11-07,2022-11-09
280200,259374,130.65,active,2022-11-07,2022-11-08
482975,624619,46.77,not active,2022-11-07,2022-11-08
768600,935769,79.06,active,2022-11-07,2022-11-08
425026,88527,140.05,active,2022-11-07,2022-11-09
679456,602775,83.99,active,2022-11-07,2022-11-12
311195,542746,110.11,active,2022-11-07,2022-11-09
869447,729401,145.97,not active,2022-11-07,2022-11-09
761563,17226,115.87,active,2022-11-07,2022-11-10
579815,987122,126.21,not active,2022-11-07,2022-11-09
532911,534380,135.38,not active,2022-11-07,2022-11-12
66597,968208,35.08,active,2022-11-07,2022-11-07
142456,887603,135.86,active,2022-11-07,2022-11-11
54055,60564,58.47,active,2022-11-07,2022-11-08
242437,504989,76.78,not active,2022-11-07,2022-11-11
226609,848379,57.77,not active,2022-11-07,2022-11-09
500441,700300,136.92,not active,2022-11-07,2022-11-12
162025,69585,97.24,active,2022-11-07,2022-11-07
891509,736075,105.32,not active,2022-11-07,2022-11-08
29714,820800,87.79,active,2022-11-07,2022-11-12
811265,19781,59.76,not active,2022-11-07,2022-11-12
861858,883808,29.07,not active,2022-11-07,2022-11-07
559066,224340,136.69,not active,2022-11-07,2022-11-07
483388,278041,101.69,active,2022-11-07,2022-11-10
496536,315618,95.48,active,2022-11-07,2022-11-08
775858,10138,141.11,not active,2022-11-07,2022-11-12
181739,616488,92.92,active,2022-11-07,2022-11-12
311821,757530,14.66,not active,2022-11-07,2022-11-07
523655,358169,134.2,not active,2022-11-07,2022-11-09
498153,987122,135.39,not active,2022-11-07,2022-11-08
928505,266904,20.52,active,2022-11-07,2022-11-10
205635,222381,95.45,active,2022-11-07,2022-11-10
25004,997263,72.66,active,2022-11-07,2022-11-09
363869,247141,19.66,not active,2022-11-07,2022-11-12
630012,43220,28.12,active,2022-11-07,2022-11-08
76432,516698,62.79,active,2022-11-07,2022-11-08
881452,541035,11.2,active,2022-11-07,2022-11-09
158026,329805,53.97,active,2022-11-07,2022-11-08
303845,537051,113.51,not active,2022-11-07,2022-11-07
298420,712680,116.55,not active,2022-11-07,2022-11-11
300102,530579,48.22,active,2022-11-07,2022-11-08
178412,998355,141.67,not active,2022-11-07,2022-11-11
352285,923061,69.58,active,2022-11-07,2022-11-09
33186,291356,64.29,active,2022-11-07,2022-11-07
697018,757530,52.44,active,2022-11-07,2022-11-08
183300,727808,30.54,not active,2022-11-07,2022-11-07
631488,972129,52.91,active,2022-11-07,2022-11-07
971423,226154,48.84,active,2022-11-07,2022-11-11
740147,663145,48.18,active,2022-11-07,2022-11-11
832128,113704,127.87,active,2022-11-07,2022-11-11
30160,656558,49.18,not active,2022-11-07,2022-11-10
327456,323763,41.36,active,2022-11-07,2022-11-08
798832,973633,148.14,not active,2022-11-07,2022-11-10
668732,468406,75.89,active,2022-11-07,2022-11-10
741678,474338,4.09,active,2022-11-07,2022-11-09
994306,121416,19.25,active,2022-11-07,2022-11-11
267098,277739,52.99,active,2022-11-07,2022-11-09
519564,605563,114.9,not active,2022-11-07,2022-11-10
863443,388175,10.83,not active,2022-11-07,2022-11-11
605268,315187,22.6,not active,2022-11-07,2022-11-09
42848,108985,64.33,not active,2022-11-07,2022-11-10
89356,538299,99.39,active,2022-11-07,2022-11-07
43125,353864,48.86,active,2022-11-07,2022-11-11
38768,688960,30.59,not active,2022-11-07,2022-11-07
277636,475843,37.81,active,2022-11-07,2022-11-11
497669,25894,116.36,active,2022-11-07,2022-11-07
975251,862256,92.41,not active,2022-11-07,2022-11-08
496716,972129,9.74,not active,2022-11-07,2022-11-12
778737,839140,27.53,not active,2022-11-07,2022-11-10
336904,624619,26.53,not active,2022-11-07,2022-11-10
594479,540021,10.32,not active,2022-11-07,2022-11-10
394592,797427,133.69,not active,2022-11-07,2022-11-07
252350,240941,37.77,not active,2022-11-07,2022-11-09
854059,986381,118.06,active,2022-11-07,2022-11-09
15826,297247,3.84,active,2022-11-07,2022-11-08
215514,862152,87.6,active,2022-11-07,2022-11-10
990958,108546,149.42,not active,2022-11-07,2022-11-09
334592,306596,39.96,active,2022-11-07,2022-11-07
670418,419851,53.94,not active,2022-11-07,2022-11-07
300490,986381,47.27,active,2022-11-07,2022-11-10
312518,689060,128.75,active,2022-11-07,2022-11-12
724458,566318,25.16,active,2022-11-07,2022-11-11
999858,907812,53.48,not active,2022-11-07,2022-11-10
584107,753290,99.46,not active,2022-11-07,2022-11-09
574486,24587,134.37,not active,2022-11-07,2022-11-09
137162,417203,14.11,not active,2022-11-07,2022-11-08
39102,581510,55.25,not active,2022-11-07,2022-11-12
388270,305487,117.75,not active,2022-11-07,2022-11-11
781888,303759,123.27,active,2022-11-07,2022-11-07
743094,191737,28.72,not active,2022-11-07,2022-11-07
558678,696049,74.97,active,2022-11-07,2022-11-10
738032,359020,121.91,not active,2022-11-07,2022-11-08
668964,488513,85.99,active,2022-11-07,2022-11-08
141649,998355,46.15,active,2022-11-07,2022-11-09
11194,359020,14.4,not active,2022-11-07,2022-11-12
508023,111303,30.94,not active,2022-11-07,2022-11-12
919970,742486,116.58,active,2022-11-07,2022-11-11
199656,174854,88.49,active,2022-11-07,2022-11-11
303321,260429,133.23,active,2022-11-07,2022-11-10
587968,704755,54.18,not active,2022-11-07,2022-11-08
651900,169773,135.37,not active,2022-11-07,2022-11-11
440396,36855,74.05,not active,2022-11-07,2022-11-09
248019,99654,66.44,not active,2022-11-07,2022-11-09
65522,708212,90.32,not active,2022-11-07,2022-11-07
71722,712680,31.52,active,2022-11-07,2022-11-07
